category,gender,ratio_hw,ratio_jf,ratio_fw,ratio_fj
Heart,Female,1.1768878652694608,0.8651899070803858,0.9137505275853893,1.0561271231987357
Heart,Female,1.2260913051319409,0.8753476363933733,0.9047070270799714,1.0335402638517028
Heart,Female,1.244615607667166,0.9093883797167726,0.8888072735752442,0.9773681887732739
Heart,Female,1.1950927498779607,0.8705375708159759,0.9067247093331868,1.041568726876764
Heart,Male,1.2210520418370163,0.8600060998645572,0.9088730455959094,1.056821626892005
Heart,Female,1.2273941002093307,0.8754394848404684,0.8864826099020112,1.0126143785524537
Heart,Female,1.2056981673008298,0.8877654673624735,0.8963592726295673,1.0096802653212291
Heart,Female,1.2015693122581501,0.8830850056852879,0.9277373229877791,1.0505640080117091
Heart,Female,1.2291616225537598,0.8768333909623983,0.9145611404538787,1.043027272775357
Heart,Female,1.182803630320769,0.8737896117668624,0.8839610265169796,1.011640576419248
Heart,Female,1.1865906246719764,0.8876301065653898,0.8691217273516846,0.9791485450112527
Heart,Female,1.18533863726306,0.8493370035097804,0.943853892419169,1.111283140283314
Heart,Female,1.1547214126942653,0.85754900561297,0.93231564965231,1.0871864389672952
Heart,Female,1.164094530666619,0.8602527098895553,0.9262782078125447,1.0767512815291986
Heart,Female,1.189021530425974,0.8842260705367562,0.9051414615786443,1.0236538954672438
Heart,Female,1.1603724719195816,0.8762342239692426,0.8986341861049161,1.0255638977831798
Heart,Female,1.1529978389519921,0.8528940627028181,0.9432449930057585,1.1059345283945565
Heart,Male,1.1790189037041328,0.8628689686174099,0.9187716395937864,1.0647869757860806
Heart,Female,1.224536520212089,0.8564079707698234,0.9080136991261388,1.0602583466264648
Heart,Female,1.1786504628738113,0.8713110184808496,0.893777759222008,1.0257849840810342
Heart,Male,1.191792351405302,0.8747410880787984,0.8989521122073428,1.027677931742888
Heart,Female,1.2558370552997085,0.8791197617571486,0.8831373245006175,1.0045699834291506
Heart,Female,1.170026226484342,0.8485957467770271,0.9211161053861742,1.085459252988929
Heart,Female,1.2321703433963465,0.8942884405417374,0.883872536192944,0.9883528581198212
Heart,Female,1.1573267562022929,0.8576732560268711,0.9012828398416342,1.0508463841076057
Heart,Female,1.2179012292866807,0.8937864087874358,0.8714404112921534,0.9749985038085348
Heart,Male,1.2417993945720904,0.8487717836066189,0.9190553933885012,1.0828062515028853
Heart,Female,1.2215419881764928,0.8676143534266251,0.9093772038673122,1.0481352691731594
Heart,Female,1.1684704168397542,0.8811028420993028,0.896139664817694,1.017065911037768
Heart,Female,1.2053004681898747,0.900238868865825,0.8905563979479076,0.9892445535815223
Heart,Male,1.1904240242496753,0.8839268130325285,0.896671760453055,1.0144185550575187
Heart,Female,1.2597641488344966,0.8541586765432724,0.915319529724696,1.0716036198671397
Heart,Male,1.1577454825401063,0.8657095976804083,0.889579799167298,1.0275729893151788
Heart,Female,1.2239150493274904,0.850627528814014,0.9177047281146143,1.0788561350631605
Heart,Female,1.1610203429589094,0.8580344673864759,0.9301904537439287,1.0840945079714988
Heart,Female,1.1715208889636086,0.8551547386635348,0.9271558264323321,1.0841965605912716
Heart,Female,1.1410739216032733,0.8551921455600998,0.9317266601062991,1.0894939399800891
Heart,Female,1.2159005750008371,0.8527234071335934,0.931550969167708,1.0924421229377195
Heart,Female,1.1800722026213184,0.8686871617206924,0.9084254938955081,1.0457452739327957
Heart,Female,1.1847200310617916,0.860916931609545,0.927857157016862,1.0777545695171398
Heart,Female,1.1663595535050586,0.8622556180266424,0.8987718503633809,1.0423496600930355
Heart,Female,1.186451164786352,0.8805931451959597,0.9080477686730904,1.0311774212948492
Heart,Female,1.2026375789482682,0.8840221904120391,0.8861938620364246,1.0024565804432728
Heart,Female,1.1656800358238435,0.8572242053137249,0.9107791569613478,1.0624748476718795
Heart,Female,1.1985397346238484,0.8625229051449946,0.9089339181203354,1.0538084411422546
Heart,Female,1.1745057887836603,0.8822333032552909,0.8949993407537122,1.0144701378323815
Heart,Female,1.2252353771002609,0.8673728495985839,0.9045771261711871,1.0428930610288543
Heart,Male,1.228058717705559,0.8488920411203227,0.9206614892647775,1.0845448474811208
Heart,Female,1.1090685260643995,0.8940664542476395,0.8647765512036093,0.9672396801100452
Heart,Female,1.2255926694223085,0.8986024028681879,0.8943926061450509,0.9953151730846701
Heart,Female,1.2157294516648574,0.8743125794218642,0.8879454981060556,1.0155927285104442
Heart,Female,1.1502883869009397,0.8898697351921915,0.8688966526916148,0.9764312891301477
Heart,Female,1.2048704810980186,0.8717577696561929,0.9016659057234641,1.0343078514563357
Heart,Female,1.2096106965098017,0.8792456522980181,0.8960716385563691,1.0191368432864856
Heart,Female,1.211835508045433,0.8759512927200584,0.9087450056478453,1.0374378269663302
Heart,Female,1.1957566550801926,0.8681101842333531,0.8891690899063105,1.0242583327041084
Heart,Female,1.1818722654447507,0.8803651613918124,0.9055672383292501,1.02862684490785
Heart,Female,1.1664705424715647,0.9042521134345473,0.8910304184812805,0.9853783090392261
Heart,Male,1.161668633895006,0.8608482962709879,0.9111952506781437,1.0584852808854337
Heart,Female,1.123876574122109,0.8646620718026451,0.9163653360815475,1.0597959202386564
Heart,Female,1.1890705544909252,0.8826861891325875,0.8863054357419475,1.0041002642319765
Heart,Female,1.2001190741143029,0.8658984049677164,0.9050785457603464,1.0452479650821054
Heart,Male,1.2148222482893056,0.877468223238409,0.8908678578755108,1.015270791901328
Heart,Female,1.192145883508115,0.8807152081229284,0.8941020636310901,1.0151999822243256
